branch_id,branch_name
ET0010964,18 FHILIPOS MAZORIA BR
ET0010559,18 MAZORIA BRANCH
ET0010424,ABA BUNA BRANCH
ET0010394,ABABA TESFAY SAHILU BR
ET0010723,ABADIR BRANCH
ET0010603,ABADO CONDOMINIUM BR
ET0010341,ABAGEDA BRANCH
ET0010957,ABALA BRANCH
ET0010136,ABAY MADO BRANCH
ET0010136,ABAY MADO BRANCH ITM
ET0010846,ABAYA BRANCH
ET0010222,ABBA JIFAR BRANCH
ET0010039,ABBA KORAN BRANCH
ET0010004,ABBA MELA BRANCH
ET0010585,ABDERAFI BRANCH
ET0010777,ABDI NONO BRANCH
ET0010120,ABDISSA AGA BRANCH
ET0010356,ABE GOBEGNA BRANCH
ET0010447,ABEBECH GOBENA BRANCH
ET0010760,ABIMA BRANCH
ET0010041,ABINET BRANCH
ET0010890,ABOCABOT BRANCH
ET0010557,ABOMSA BRANCH
ET0010695,ABRHAJIRA BRANCH
ET0010872,ABUNE HARA BRANCH
ET0010195,ACHEFER BRANCH
ET0010392,ADA BRANCH
ET0010854,ADABA BRANCH
ET0010772,ADAGO BRANCH
ET0010558,ADAMA BOLE BRANCH
ET0010155,ADAMA BOSET BRANCH
ET0010014,ADAMA MAIN BRANCH
ET0010684,ADAMA MEBRAT HAIL BR
ET0010055,ADAMA MENAHARIA
ET0010055,ADAMA MENAHRIA
ET0010692,ADAMA MOENCO BRANCH
ET0010840,ADAMA POSTA BRANCH
ET0010367,ADDIS ALEM BRANCH
ET0010219,ADDIS KAZANCHIS BRANCH
ET0010753,ADDIS KETEMA BRANCH
ET0010312,ADDIS KIDAM BRANCH
ET0010153,ADDIS ZEMEN BRANCH
ET0010173,ADDISU MICHEAL BRANCH
ET0010031,ADDISUGEBEYA BRANCH
ET0010290,ADET BRANCH
ET0010364,ADET TERA BRANCH
ET0010954,ADI DAERO BRANCH
ET0010455,ADI KENTIBAY BRANCH
ET0010057,ADI-HAKI BRANCH
ET0010073,ADIGRAT BRANCH
ET0010387,ADIGUDOM BRANCH
ET0010370,ADIHA BRANCH
ET0010494,ADISHHU BRANCH
ET0010371,ADISHIM DHUN BRANCH
ET0010734,ADIYO-SUB BRANCH
ET0010218,ADOLA BRANCH
ET0010157,ADWA BRANCH
ET0010283,AFDERA BRANCH
ET0010628,AFEWEK TEKLE BRANCH
ET0010297,AFRICA AVENUE
ET0010297,AFRICA AVENUE BRANCH
ET0010072,AFRICA UNION BRANCH
ET0010715,AFRICA UNION COMP BR
ET0010072,AFRICA UNION COMPOUND
ET0010941,AGARFA BRANCH
ET0010421,AGARO BRANCH
ET0010951,AGAZI BRANCH
ET0010673,AGENA BRANCH
ET0010492,AGULAE BRANCH
ET0010025,AIRPORT BRANCH
ET0010939,AJIBAR BRANCH
ET0010246,AKAKI BRANCH
ET0010422,AKAKI GEBEYA BRANCH
ET0010583,AKESTA BRANCH
ET0010315,AKLILU HABTEWOLD BR
ET0010982,AL NEJASHI BRANCH
ET0010666,AL-BURAQ BRANCH
ET0010950,AL-FARUK BRANCH
ET0010677,AL-IMAN BRANCH
ET0010502,AL-SADIQ BRANCH
ET0010107,ALAMATA BRANCH
ET0010278,ALAMURA BRANCH
ET0010863,ALAQSUA BRANCH
ET0010468,ALEKA GEBRE HANNA BR
ET0010132,ALEM BANK BRANCH
ET0010044,ALEMGENA BRANCH
ET0010236,ALETA WONDO BRANCH
ET0010979,ALHUDA BRANCH
ET0010454,ALIF BRANCH
ET0010774,ALITO HEWANO BRANCH
ET0010641,ALIYU AMBA BRANCH
ET0010012,ALULA ABANEGA BRANCH
ET0010646,AMAN BRANCH
ET0010385,AMANA BRANCH
ET0010469,AMANUEL BRANCH
ET0010484,AMARO KELE BRANCH
ET0010702,AMBA GIORGIS BRANCH
ET0010148,AMBO BRANCH
ET0010342,AMBSADR ZEWDE RETTA BR
ET0010831,AMDEWORK BRANCH
ET0010566,AMERICAN GEBI BRANCH
ET0010140,AMESTEGNA AREA BRANCH
ET0010616,AMEYA BRANCH
ET0010711,AMHARA SAYINT BRANCH
ET0010967,AMORA MEWAGNA BRANCH
ET0010800,ANBESAME BRANCH
ET0010767,ANCHAR BRANCH
ET0010828,ANFO ADEBABAY BR
ET0010398,ANFO BRANCH
ET0010637,ANGACHA BRANCH
ET0010443,ANGER GUTE BRANCH
ET0010624,ANKOBER BRANCH
ET0010333,ARABSA BRANCH
ET0010346,ARABSA CONDOMINIUM BR
ET0010949,ARADA AYENA BER BRANCH
ET0010017,ARADA BRANCH
ET0010414,ARADA GIORGIS BRANCH
ET0010028,ARBAMINCH BRANCH
ET0010405,AREKA BRANCH
ET0010504,ARERO BRANCH
ET0010150,ARERTI BRANCH
ET0010921,ARSI BRANCH
ET0010303,ARSI ROBE BRANCH
ET0010553,ARSI SIRE BRANCH
ET0010675,ARTIST LEMMA GUYA BR
ET0010430,ASENDABO BRANCH
ET0010119,ASHEWA MEDA BRANCH
ET0010509,ASKO ADDIS SEFER BR
ET0010238,ASKO BRANCH
ET0010919,ASKO MENAHARIA BRANCH
ET0010248,ASKO-MICKYLILAND BR
ET0010769,ASSAITA BRANCH
ET0010069,ASSELA  BRANCH
ET0010069,ASSELA BRANCH
ET0010101,ASSOSA BRANCH
ET0010316,ATAYE BRANCH
ET0010541,ATENA TERA BRANCH
ET0010308,ATHLET WAMI BIRATU BR
ET0010239,ATKILT TERRA BRANCH
ET0010593,ATOTE BRANCH
ET0010280,ATSBI BRANCH
